pop,dos,id,draw,blocked,p,q
1,0,203,0.0,0,45,0
1,1,203,0.0,0,45,0
1,5,203,0.0,0,46,0
1,10,203,0.0,0,45,0
1,0,201,0.0,0,43,0
1,1,201,0.0,0,43,0
1,5,201,0.0,0,44,0
1,10,201,0.0,0,43,0
1,0,202,0.0,0,72,0
1,1,202,0.0,0,67,0
1,5,202,0.0,0,61,0
1,10,202,0.0,0,64,0
1,0,107,76.9,0,72,34
1,1,107,76.9,0,67,34
1,5,107,76.9,0,61,34
1,10,107,76.9,0,64,34
1,0,158,20.5,0,72,34
1,1,158,20.5,0,67,34
1,5,158,20.5,0,61,37
1,10,158,20.5,0,64,37
1,0,49,48.8,0,43,39
1,1,49,48.8,0,43,39
1,5,49,48.8,0,44,39
1,10,49,48.8,0,43,39
1,0,3,25.2,0,43,36
1,1,3,25.2,0,43,36
1,5,3,25.2,0,44,36
1,10,3,25.2,0,43,36
1,0,114,26.6,0,72,32
1,1,114,26.6,0,67,32
1,5,114,26.6,0,61,35
1,10,114,26.6,0,64,32
1,0,85,44.9,0,43,-117
1,1,85,44.9,0,43,-117
1,5,85,44.9,0,44,-117
1,10,85,44.9,0,43,-117
1,0,164,69.4,0,72,35
1,1,164,69.4,0,67,37
1,5,164,69.4,0,61,37
1,10,164,69.4,0,64,37
1,0,110,0.1,0,72,36
1,1,110,0.1,1,67,39
1,5,110,0.1,1,61,39
1,10,110,0.1,1,64,39
1,0,112,83.3,0,72,41
1,1,112,83.3,0,67,41
1,5,112,83.3,0,61,41
1,10,112,83.3,0,64,41
1,0,72,52.0,0,43,-122
1,1,72,52.0,0,43,-122
1,5,72,52.0,0,44,-122
1,10,72,52.0,0,43,-122
1,0,147,57.5,0,72,43
1,1,147,57.5,0,67,43
1,5,147,57.5,0,61,43
1,10,147,57.5,0,64,43
1,0,9,89.7,0,43,38
1,1,9,89.7,0,43,38
1,5,9,89.7,0,44,38
1,10,9,89.7,0,43,38
1,0,123,46.9,0,72,38
1,1,123,46.9,0,67,38
1,5,123,46.9,0,61,39
1,10,123,46.9,0,64,39
1,0,43,48.5,0,43,39
1,1,43,48.5,0,43,39
1,5,43,48.5,0,44,39
1,10,43,48.5,0,43,39
1,0,68,2.9,0,43,-106
1,1,68,2.9,0,43,-106
1,5,68,2.9,1,44,-106
1,10,68,2.9,1,43,-106
1,0,145,94.9,0,72,36
1,1,145,94.9,0,67,36
1,5,145,94.9,0,61,39
1,10,145,94.9,0,64,39
