population,id,dos,p,q
1,203,0,46,0
1,203,1,-1,0
1,203,5,46,0
1,203,10,-1,0
1,201,0,44,0
1,201,1,-1,0
1,201,5,44,0
1,201,10,-1,0
1,202,0,60,0
1,202,1,-1,0
1,202,5,57,0
1,202,10,-1,0
1,107,0,60,40
1,107,1,-1,0
1,107,5,57,40
1,107,10,-1,0
1,158,0,60,37
1,158,1,-1,0
1,158,5,57,39
1,158,10,-1,0
1,49,0,44,39
1,49,1,-1,0
1,49,5,44,39
1,49,10,-1,0
1,3,0,44,43
1,3,1,-1,0
1,3,5,44,43
1,3,10,-1,0
1,114,0,60,35
1,114,1,-1,0
1,114,5,57,35
1,114,10,-1,0
1,85,0,44,-100
1,85,1,-1,0
1,85,5,44,-100
1,85,10,-1,0
1,164,0,60,38
1,164,1,-1,0
1,164,5,57,41
1,164,10,-1,0
1,110,0,60,33
1,110,1,-1,0
1,110,5,57,33
1,110,10,-1,0
1,112,0,60,36
1,112,1,-1,0
1,112,5,57,36
1,112,10,-1,0
1,72,0,44,-62
1,72,1,-1,0
1,72,5,44,-62
1,72,10,-1,0
1,147,0,60,37
1,147,1,-1,0
1,147,5,57,40
1,147,10,-1,0
1,9,0,44,40
1,9,1,-1,0
1,9,5,44,40
1,9,10,-1,0
1,123,0,60,36
1,123,1,-1,0
1,123,5,57,40
1,123,10,-1,0
1,43,0,44,42
1,43,1,-1,0
1,43,5,44,42
1,43,10,-1,0
1,68,0,44,-96
1,68,1,-1,0
1,68,5,44,-96
1,68,10,-1,0
1,145,0,60,36
1,145,1,-1,0
1,145,5,57,36
1,145,10,-1,0
1,89,0,44,-136
1,89,1,-1,0
1,89,5,44,-136
1,89,10,-1,0
1,156,0,60,36
1,156,1,-1,0
1,156,5,57,39
1,156,10,-1,0
1,124,0,60,43
1,124,1,-1,0
1,124,5,57,43
1,124,10,-1,0
1,106,0,60,35
1,106,1,-1,0
1,106,5,57,35
1,106,10,-1,0
1,13,0,44,39
1,13,1,-1,0
1,13,5,44,39
1,13,10,-1,0
1,150,0,60,35
1,150,1,-1,0
