pop,dos,id,rblock,blocked,p,q,upcon
1,0,1,41.3,0,73,40,N
1,0,2,18.2,0,73,37,N
1,0,3,32.1,0,73,39,N
1,0,4,27.0,0,73,36,N
1,0,5,27.9,0,73,31,N
1,0,6,57.2,0,73,34,N
1,0,7,42.3,0,73,34,N
1,0,8,17.8,0,73,35,N
1,0,9,70.3,0,73,36,N
1,0,10,64.2,0,73,36,N
1,0,11,36.5,0,73,37,N
1,0,12,46.6,0,73,40,N
1,0,13,22.0,0,73,35,N
1,0,14,46.4,0,73,42,N
1,0,15,95.3,0,73,40,N
1,0,16,39.5,0,73,37,N
1,0,17,98.2,0,73,39,N
1,0,18,48.2,0,73,42,N
1,0,19,60.8,0,73,38,N
1,0,20,70.0,0,73,32,N
1,0,21,47.4,0,73,34,N
1,0,22,96.5,0,73,37,N
1,0,23,57.9,0,73,35,N
1,0,24,59.9,0,73,36,N
1,0,25,35.0,0,73,35,N
1,0,26,70.2,0,73,35,N
1,0,27,53.5,0,73,34,N
1,0,28,30.9,0,73,36,N
1,0,29,90.6,0,73,33,N
1,0,30,46.2,0,73,35,N
1,0,31,4.0,0,73,37,N
1,0,32,57.0,0,73,33,N
1,0,33,67.7,0,73,34,N
1,0,34,70.0,0,73,40,N
1,0,35,40.2,0,73,36,N
1,0,36,66.0,0,73,42,N
1,0,37,66.7,0,73,40,N
1,0,38,2.0,0,73,38,N
1,0,39,40.1,0,73,36,N
1,0,40,43.2,0,73,38,N
1,0,41,70.4,0,73,36,N
1,0,42,89.5,0,73,38,N
1,0,43,39.8,0,73,32,N
1,0,44,83.7,0,73,38,N
1,0,45,42.2,0,73,39,N
1,0,46,13.4,0,73,36,N
1,0,47,32.6,0,73,38,N
1,0,48,46.4,0,73,36,N
1,0,49,38.2,0,73,39,N
1,0,50,60.8,0,73,41,N
1,0,51,5.0,0,73,35,N
1,0,52,58.0,0,73,36,N
1,0,53,81.1,0,73,37,N
1,0,54,72.8,0,73,40,N
1,0,55,61.8,0,73,34,N
1,0,56,16.7,0,73,33,N
1,0,57,47.4,0,73,35,N
1,0,58,18.1,0,73,42,N
1,0,59,88.1,0,73,35,N
1,0,60,47.6,0,73,39,N
1,0,61,17.6,0,73,31,N
1,0,62,40.9,0,73,32,N
1,0,63,99.7,0,73,34,N
1,0,64,57.2,0,73,34,N
1,0,65,39.2,0,73,39,N
1,0,66,35.8,0,73,-181,N
1,0,67,31.5,0,73,-127,N
1,0,68,39.4,0,73,-142,N
1,0,69,52.5,0,73,-90,N
1,0,70,96.6,0,73,-109,N
1,0,71,13.2,0,73,-152,N
1,0,72,81.0,0,73,-142,N
1,0,73,29.5,0,73,-121,N
1,0,74,91.1,0,73,-111,N
1,0,75,83.6,0,73,-112,N
1,0,76,17.8,0,73,-128,N
1,0,77,75.6,0,73,-136,N
1,0,78,11.9,0,73,-160,N
1,0,79,92.4,0,73,-91,N
1,0,80,91.8,0,73,-135,N
1,0,81,43.8,0,73,-98,N
1,0,82,51.4,0,73,-150,N
1,0,83,39.8,0,73,-133,N
1,0,84,57.9,0,73,-106,N
1,0,85,12.5,0,73,-111,N
1,0,86,52.7,0,73,-127,N
1,0,87,4.2,0,73,-106,N
1,0,88,91.2,0,73,-158,N
1,0,89,75.7,0,73,-118,N
1,0,90,86.7,0,73,-138,N
1,0,91,7.7,0,73,-101,N
1,0,92,45.0,0,73,-149,N
1,0,93,96.4,0,73,-146,N
1,0,94,3.0,0,73,-98,N
1,0,95,69.7,0,73,-107,N
1,0,96,9.0,0,73,-125,N
1,0,97,72.5,0,73,-97,N
1,0,98,7.7,0,73,-100,N
1,0,99,98.1,0,73,-108,N
1,0,100,17.9,0,73,-102,N
1,0,101,65.6,0,77,36,N
1,0,102,15.6,0,77,37,N
1,0,103,68.3,0,77,33,N
1,0,104,60.4,0,77,41,N
1,0,105,43.6,0,77,39,N
1,0,106,28.2,0,77,34,N
1,0,107,40.6,0,77,36,N
1,0,108,38.3,0,77,39,N
1,0,109,84.7,0,77,35,N
1,0,110,87.1,0,77,31,N
1,0,111,65.2,0,77,35,N
1,0,112,26.8,0,77,33,N
1,0,113,95.8,0,77,35,N
1,0,114,52.6,0,77,35,N
1,0,115,24.6,0,77,41,N
1,0,116,84.2,0,77,33,N
1,0,117,92.3,0,77,38,N
1,0,118,57.8,0,77,41,N
1,0,119,65.1,0,77,35,N
1,0,120,62.6,0,77,38,N
1,0,121,92.4,0,77,38,N
1,0,122,88.3,0,77,40,N
1,0,123,64.8,0,77,37,N
1,0,124,68.9,0,77,30,N
1,0,125,72.6,0,77,38,N
1,0,126,36.9,0,77,34,N
1,0,127,90.4,0,77,34,N
1,0,128,26.0,0,77,34,N
1,0,129,37.6,0,77,36,N
1,0,130,83.9,0,77,42,N
1,0,131,91.7,0,77,32,N
1,0,132,84.8,0,77,38,N
