Population,ID,Prob,P,Q
1,203,0,52,0
1,203,1,47,0
1,203,5,55,0
1,203,10,45,0
1,201,0,50,0
1,201,1,45,0
1,201,5,53,0
1,201,10,43,0
1,202,0,54,0
1,202,1,49,0
1,202,5,57,0
1,202,10,47,0
1,107,0,54,40
1,107,1,49,40
1,107,5,57,40
1,107,10,47,40
1,158,0,54,39
1,158,1,49,39
1,158,5,57,39
1,158,10,47,39
1,49,0,50,39
1,49,1,45,39
1,49,5,53,39
1,49,10,43,39
1,3,0,50,43
1,3,1,45,43
1,3,5,53,43
1,3,10,43,43
1,114,0,54,35
1,114,1,49,35
1,114,5,57,35
1,114,10,47,35
1,85,0,50,-100
1,85,1,45,-100
1,85,5,53,-100
1,85,10,43,-100
1,164,0,54,41
1,164,1,49,41
1,164,10,47,41
1,110,0,54,33
1,110,1,49,35
1,110,5,57,33
1,110,10,47,35
1,112,0,54,36
1,112,1,49,39
1,112,5,57,36
1,112,10,47,39
1,72,0,50,-185
1,72,1,45,-185
1,72,5,53,-185
1,72,10,43,-88
1,147,0,54,40
1,147,1,49,40
1,147,5,57,40
1,147,10,47,40
1,9,0,50,40
1,9,1,45,40
1,9,5,53,40
1,123,0,54,40
1,123,1,49,40
1,123,5,57,40
1,123,10,47,40
1,43,0,50,42
1,43,1,45,42
1,43,5,53,41
1,43,10,43,42
1,68,0,50,-96
1,68,1,45,-96
1,68,5,53,-96
1,68,10,43,-91
1,145,0,54,36
1,145,1,49,36
1,145,5,57,36
1,145,10,47,36
1,89,0,50,-136
1,89,1,45,-136
1,89,5,53,-136
1,156,0,54,39
1,156,1,49,39
1,156,5,57,39
1,156,10,47,39
1,124,0,54,43
1,124,1,49,43
1,124,5,57,43
1,124,10,47,43
1,106,0,54,35
1,106,1,49,38
1,106,5,57,35
1,13,0,50,39
1,13,1,45,39
1,13,5,53,39
1,13,10,43,39
1,150,0,54,37
1,150,1,49,37
1,150,5,57,35
1,150,10,47,37
1,172,0,54,39
1,172,1,49,39
1,172,5,57,35
1,172,10,47,39
1,1,0,50,44
1,1,1,45,44
1,1,5,53,44
1,1,10,43,44
1,178,0,54,43
1,178,1,49,43
1,178,5,57,43
1,178,10,47,43
1,129,0,54,39
1,129,1,49,39
1,129,5,57,39
1,129,10,47,39
1,39,0,50,40
1,39,1,45,40
1,39,5,53,40
1,39,10,43,40
1,149,0,54,40
1,149,1,49,40
1,149,5,57,40
1,149,10,47,40
1,130,0,54,40
1,130,1,49,42
1,130,5,57,40
1,130,10,47,42
1,104,0,54,38
1,104,1,49,38
1,104,5,57,38
1,104,10,47,38
1,140,0,54,40
1,140,1,49,40
1,140,5,57,40
1,140,10,47,40
1,78,0,50,-219
1,78,1,45,-219
1,78,5,53,-219
1,78,10,43,-70
1,100,0,50,-114
1,100,1,45,-114
1,100,5,53,-114
1,100,10,43,-114
1,132,0,54,37
1,132,1,49,37
1,132,5,57,37
1,132,10,47,37
1,148,0,54,43
1,148,1,49,43
1,148,5,57,43
1,148,10,47,43
1,168,0,54,36
1,168,1,49,39
1,168,5,57,36
1,168,10,47,39
1,120,0,54,39
1,120,1,49,39
1,120,5,57,39
1,120,10,47,39
1,46,0,50,37
1,46,1,45,37
1,46,5,53,37
1,46,10,43,40
1,109,0,54,39
1,109,1,49,39
1,109,5,57,39
1,109,10,47,39
1,167,0,54,39
1,167,1,49,39
1,167,5,57,33
1,167,10,47,39
1,159,0,54,42
1,159,1,49,42
1,159,5,57,42
1,159,10,47,42
1,62,0,50,39
1,62,1,45,39
1,62,5,53,39
1,151,0,54,42
1,151,1,49,42
1,151,5,57,42
1,151,10,47,42
1,160,0,54,34
1,160,1,49,37
1,160,5,57,34
1,160,10,47,37
1,135,0,54,32
1,135,1,49,35
1,135,5,57,32
1,135,10,47,35
1,155,0,54,40
1,155,1,49,40
1,155,5,57,40
1,155,10,47,40
1,175,0,54,42
1,175,1,49,42
1,175,5,57,42
1,175,10,47,42
1,36,0,50,38
1,36,1,45,38
1,36,5,53,38
1,36,10,43,38
1,199,0,54,-175
1,199,1,49,-175
1,199,5,57,-175
1,199,10,47,-175
1,41,0,50,43
1,41,5,53,43
1,101,0,54,40
1,101,1,49,40
1,101,5,57,40
1,96,0,50,-100
1,96,1,45,-100
1,96,5,53,-85
1,96,10,43,-100
1,144,0,54,40
1,144,1,49,40
1,144,5,57,40
1,144,10,47,40
1,69,0,50,-120
1,69,1,45,-95
1,69,5,53,-120
1,69,10,43,-100
1,21,0,50,38
1,21,1,45,40
1,21,5,53,38
1,21,10,43,40
1,154,0,54,41
1,154,1,49,41
1,154,5,57,39
1,154,10,47,41
1,108,0,54,36
1,108,1,49,36
1,108,5,57,36
1,108,10,47,36
1,91,0,50,-133
1,91,1,45,-133
1,91,5,53,-133
1,91,10,43,-133
1,189,0,54,38
1,189,1,49,38
1,189,5,57,38
1,189,10,47,38
1,15,0,50,40
1,15,1,45,40
1,15,5,53,40
1,15,10,43,40
1,163,0,54,38
1,163,1,49,38
1,163,10,47,38
1,30,0,50,40
1,30,1,45,40
1,30,5,53,40
1,30,10,43,40
1,133,0,54,38
1,133,1,49,38
1,133,5,57,38
1,133,10,47,38
1,33,0,50,40
1,33,1,45,40
1,33,5,53,40
1,33,10,43,40
1,14,0,50,39
1,14,1,45,39
1,14,5,53,39
1,14,10,43,40
1,196,0,54,-125
1,196,1,49,-125
1,196,5,57,-102
1,196,10,47,-125
1,116,0,54,42
1,116,5,57,40
1,64,0,50,38
1,64,1,45,38
1,64,5,53,38
1,64,10,43,38
1,177,0,54,42
1,177,1,49,42
1,177,5,57,40
1,177,10,47,42
1,98,0,50,-130
1,98,1,45,-130
1,98,5,53,-130
1,98,10,43,-130
1,165,0,54,41
1,165,1,49,41
1,165,5,57,41
1,165,10,47,41
1,12,0,50,41
1,12,1,45,41
1,12,5,53,41
1,174,0,54,36
1,174,1,49,39
1,174,5,57,36
1,174,10,47,39
1,131,0,54,38
1,131,1,49,38
1,131,5,57,35
1,131,10,47,38
1,161,0,54,36
1,161,1,49,36
1,161,10,47,36
1,32,0,50,38
1,32,1,45,38
1,32,5,53,38
1,32,10,43,38
1,94,0,50,-142
1,94,1,45,-142
1,94,5,53,-142
1,94,10,43,-142
1,86,0,50,-119
1,86,1,45,-119
1,86,5,53,-119
1,86,10,43,-119
1,24,0,50,39
1,24,1,45,39
1,24,5,53,39
1,24,10,43,39
1,38,0,50,40
1,38,1,45,42
1,38,5,53,40
1,38,10,43,42
1,82,0,50,-264
1,82,1,45,-264
1,82,5,53,-264
1,82,10,43,-264
1,54,0,50,42
1,54,1,45,42
1,54,5,53,40
1,54,10,43,42
1,186,0,54,37
1,186,1,49,37
1,186,5,57,37
1,186,10,47,37
1,194,0,54,-118
1,194,1,49,-118
1,194,5,57,-118
