n,type,load,elast
1,"S",101.7269,.4432173
2,"S",91.56459,.378343
3,"S",104.7181,.2190319
4,"S",106.5321,.4726085
5,"S",96.54065,.3541562
6,"S",89.7989,.8707154
7,"S",89.90206,.2734692
8,"S",107.3836,.7765217
9,"S",98.64073,.4741377
10,"S",118.3856,.4132755
11,"S",97.07271,.4854929
12,"S",86.6582,.6119728
13,"S",109.5112,.5921375
14,"S",103.1313,.5266383
15,"S",103.0518,.4865783
16,"S",96.78573,.4534268
17,"S",97.6385,.5530724
18,"S",103.2009,.780928
19,"S",84.33043,.2988644
20,"S",95.11167,.3580166
21,"S",95.92858,.4406784
22,"S",93.3804,.6081666
23,"S",95.94432,.1627765
24,"S",89.48768,.2232917
25,"S",107.0938,.3578191
26,"S",96.863,.8799356
27,"S",101.0332,.6674804
28,"S",106.1832,.4220877
29,"S",99.34288,.1004976
30,"S",91.58872,.0766302
31,"S",96.94371,.821339
32,"S",97.90558,.2923688
33,"S",102.6269,.479909
34,"S",99.33933,.327006
35,"S",94.33754,.6248592
36,"S",88.75571,.8540606
37,"S",94.5414,.3831467
38,"S",101.6367,.5859888
39,"S",96.43948,.5648017
40,"S",107.3376,.3507953
41,"S",90.99253,.5584843
42,"S",109.7324,.7349404
43,"S",97.5825,.7488201
44,"S",98.16259,.5482364
45,"S",76.58408,.3342608
46,"S",98.46119,.399344
47,"S",99.36965,.3459852
48,"S",102.8588,.3725595
49,"S",95.73444,.5367368
50,"S",103.5419,.7333639
51,"S",105.7589,.5835643
52,"S",92.78065,.3324438
53,"S",98.22921,.5331335
54,"S",117.9021,.9202225
55,"S",109.9832,.4473503
56,"S",100.5663,.367171
57,"S",90.27686,.1747585
58,"S",98.60398,.3152025
59,"S",96.39036,.4546784
60,"S",95.81716,.9571791
61,"S",111.8074,.4963891
62,"S",87.99519,.6671337
63,"S",102.3307,.6705779
64,"S",97.41458,.5678169
65,"S",87.26979,.6562374
66,"S",110.8063,.3160705
67,"S",103.6238,.6831785
68,"S",102.4749,.7753324
69,"S",94.28383,.531114
70,"S",95.32571,.6541959
71,"S",99.19219,.7652943
72,"S",96.88502,.7611727
73,"S",92.68024,.2399196
74,"S",107.1728,.3364233
75,"S",104.2329,.4227144
76,"S",109.6679,.6317418
77,"S",92.06506,.4459912
78,"S",103.1513,.6629025
79,"S",102.1794,.8239673
80,"S",110.8299,.6011058
81,"S",114.2471,.9827674
82,"S",99.88349,.2654625
83,"S",103.6715,.7364358
84,"S",106.2174,.589202
85,"S",109.2192,.8802715
86,"S",93.9345,.3881122
87,"S",97.0478,.6609253
88,"S",100.761,.7102814
89,"S",102.1541,.7167305
90,"S",98.59389,.301286
91,"S",96.44311,.1198587
92,"S",100.2631,.7917747
93,"S",93.88951,.3181203
94,"S",90.66428,.3585591
95,"S",100.5124,.5633755
96,"S",93.67727,.326236
97,"S",96.66849,.7919727
98,"S",98.16757,.2666268
99,"S",103.7769,.5465302
100,"S",105.5017,.3704315
101,"S",103.7625,.1404584
102,"S",95.57166,.6199287
103,"S",105.091,.2330953
104,"S",106.0151,.7349688
105,"S",105.0514,.6590081
106,"S",100.3748,.6291748
107,"S",95.1581,.4184089
108,"S",104.0985,.8020967
109,"S",96.23701,.4288841
110,"S",99.79967,.2998677
111,"S",100.5287,.1331854
112,"S",105.1156,.5309855
113,"S",109.7146,.4689899
114,"S",96.79505,.350769
115,"S",101.636,.7810263
116,"S",91.83768,.3593255
117,"S",100.0869,.9171599
118,"S",106.5763,.1311458
119,"S",106.0762,.4774113
120,"S",98.32238,.5288349
121,"S",97.36777,.3744375
122,"S",98.53797,.5989273
123,"S",101.7321,.2765136
124,"S",117.5972,.6759061
125,"S",103.5532,.3359295
126,"S",104.595,.4264577
127,"S",101.608,.2553928
128,"S",94.95991,.4151087
129,"S",90.93179,.2273313
130,"S",101.277,.5366995
131,"S",92.3919,.1880821
132,"S",95.75717,.3858285
133,"S",106.2518,.4983967
134,"S",102.9123,.7083238
135,"S",93.74061,.3297346
136,"S",99.91878,.3924102
137,"S",102.809,.9373521
138,"S",86.95235,.208828
139,"S",96.07712,.406801
140,"S",97.03195,.3640339
141,"S",94.8661,.6224727
142,"S",100.9281,.4882774
143,"S",98.99252,.6727638
144,"S",100.4313,.8686205
145,"S",103.6576,.2767956
146,"S",97.23003,.4550389
147,"S",92.25121,.5656745
148,"S",90.42986,.4895449
149,"S",104.8981,.7516371
150,"S",103.1194,.866116
151,"S",93.0861,.2047384
152,"S",101.698,.8217701
153,"S",106.5772,.6226834
154,"S",91.09542,.8179149
155,"S",93.39758,.3250698
156,"S",98.20201,.3670438
157,"S",104.0011,.7509004
158,"S",79.95085,.2644946
159,"S",108.5176,.5677922
160,"S",96.70273,.1835115
161,"S",111.1845,.7467999
162,"S",108.1949,.8123825
163,"S",97.43928,.6227289
164,"S",105.0005,.5279381
165,"S",111.2823,.5026879
166,"S",95.95815,.584524
167,"S",93.98521,.5628291
168,"S",90.923,.7220292
169,"S",95.99052,.3492248
170,"S",108.8622,.3686669
171,"S",96.46909,.5346887
172,"S",99.77322,.641224
173,"S",98.62883,.2599254
174,"S",98.16458,.0584924
175,"S",106.0091,.6561568
176,"S",109.8541,.9168162
177,"S",104.8415,.9084137
178,"S",99.26019,.5703914
179,"S",101.1168,.5555844
180,"S",95.43433,.6860359
181,"S",94.98341,.9122186
182,"S",108.1775,.6158087
183,"S",92.29189,.9667497
184,"S",93.88869,.3667222
185,"S",113.1853,.5665942
186,"S",108.0325,.4141457
187,"S",101.8149,.4876676
188,"S",102.7428,.4131325
189,"S",96.59235,.4171603
190,"S",93.51115,.5002364
191,"S",102.4327,.4213273
192,"S",94.64651,.3257554
193,"S",105.9878,.3248016
194,"S",105.5253,.6808413
195,"S",99.51617,.2091742
196,"S",106.7676,.3143258
197,"S",94.76585,.3153349
198,"S",105.7451,1.103442
199,"S",101.559,.6838846
200,"S",96.93597,.2628685
201,"S",101.1862,.6972011
202,"S",111.2794,.6494233
203,"S",93.21438,.3357072
204,"S",104.1633,.6294679
205,"S",97.17348,.9913527
206,"S",103.3989,.3336073
207,"S",102.6741,.4375629
208,"S",99.92562,.6080186
209,"S",98.65911,.8458748
210,"S",105.2017,.2485086
211,"S",95.17229,.7045125
212,"S",88.92462,.5579566
213,"S",97.07798,.6691166
214,"S",108.6768,.5575616
215,"S",108.4794,.9934536
216,"S",102.1495,.6607212
217,"S",100.5078,.5897804
218,"S",86.42593,.3948778
219,"S",94.06277,.4476074
220,"S",92.17945,.7589483
221,"S",93.65919,.2980681
222,"S",101.3624,.6520968
223,"S",102.5558,.5090912
224,"S",98.7366,.2814846
225,"S",105.7381,.2129769
226,"S",95.61781,.4950323
227,"S",108.6315,.6806543
228,"S",99.32164,.3502834
229,"S",105.88,.4996996
230,"S",100.6436,.375567
231,"S",89.87622,.175044
232,"S",83.76179,.6276377
233,"S",88.7105,.7487031
234,"S",96.27383,.2278364
235,"S",105.0102,.3863862
236,"S",108.1562,.2848332
237,"S",96.78109,.5994402
238,"S",121.4717,.6903471
239,"S",99.22259,.6077815
240,"S",105.0766,.773969
241,"S",107.5763,.5574547
242,"S",102.6934,.0829578
243,"S",106.6652,.7791896
244,"S",101.515,1.025985
245,"S",97.74409,.0994513
246,"S",102.2614,.1637667
247,"S",109.3116,.5378587
248,"S",93.97735,.3852682
249,"S",105.2825,.3010059
250,"S",102.6428,.60847
251,"S",116.7639,.5391026
252,"S",112.8706,.4525304
253,"S",93.32819,.3564147
254,"S",112.094,.707194
255,"S",102.6196,.195437
256,"S",101.7168,.6211071
257,"S",95.08359,.2847734
258,"S",91.20057,.6197858
259,"S",105.3347,.5556747
260,"S",102.5236,.5213255
261,"S",109.4077,.5508301
262,"S",101.7573,.646665
263,"S",99.8163,.5317231
264,"S",95.24688,.6911088
265,"S",114.5269,.828033
266,"S",101.4945,.3290246
267,"S",104.8267,.8921199
268,"S",93.31007,.392716
269,"S",106.1309,.4430115
270,"S",102.4472,.5806489
271,"S",89.12025,.2826713
272,"S",93.08199,.4425326
273,"S",98.51652,.5441269
274,"S",97.39249,.6053095
275,"S",109.6062,.7319674
276,"S",87.97723,.4670068
277,"S",112.603,.835508
278,"S",95.39404,.0259982
279,"S",105.3959,.5521069
280,"S",94.29393,.9049974
281,"S",99.52713,.9822756
282,"S",110.0825,.3224231
283,"S",107.0205,.7462452
